----------------------------------------ARGUMENTS----------------------------------------
auto_arg_by_dataset                      yelp23
index                                    3
emsize                                   384
nhead                                    2
nhid                                     2048
nlayers                                  6
dropout                                  0.2
lr                                       1.0
clip                                     1.0
epochs                                   200
batch_size                               256
seed                                     2022
cuda                                     True
log_interval                             200
checkpoint                               ./yelp23/3
outf                                     generated.json
vocab_size                               20000
endure_times                             5
rating_reg                               0.2
context_reg                              1.0
text_reg                                 1.0
peter_mask                               True
use_feature                              True
words                                    15
data_path                                /home/P76114511/projects/nete_format_data/yelp23/reviews.pickle
index_dir                                /home/P76114511/projects/nete_format_data/yelp23/3
meta_root                                data/yelp23/3/train-data
[2024-08-03 16:30:35.117273]: context ppl 471.8211 | text ppl 40.1005 | rating loss 0.8566 |  2200/ 9625 batches
[2024-08-03 16:30:41.373041]: context ppl 467.9761 | text ppl 40.2416 | rating loss 0.8393 |  2400/ 9625 batches
[2024-08-03 16:30:47.627814]: context ppl 463.2127 | text ppl 39.7715 | rating loss 0.8429 |  2600/ 9625 batches
[2024-08-03 16:30:53.875838]: context ppl 460.5056 | text ppl 39.6352 | rating loss 0.8372 |  2800/ 9625 batches
[2024-08-03 16:31:00.129692]: context ppl 458.1031 | text ppl 39.6283 | rating loss 0.8386 |  3000/ 9625 batches
[2024-08-03 16:31:06.379300]: context ppl 454.9972 | text ppl 39.3937 | rating loss 0.8502 |  3200/ 9625 batches
[2024-08-03 16:31:12.629410]: context ppl 452.5744 | text ppl 39.6135 | rating loss 0.8376 |  3400/ 9625 batches
[2024-08-03 16:31:18.885927]: context ppl 449.7647 | text ppl 39.3630 | rating loss 0.8458 |  3600/ 9625 batches
[2024-08-03 16:31:25.135302]: context ppl 446.9683 | text ppl 39.3192 | rating loss 0.8386 |  3800/ 9625 batches
[2024-08-03 16:31:31.382899]: context ppl 444.3233 | text ppl 38.9742 | rating loss 0.8351 |  4000/ 9625 batches
[2024-08-03 16:31:37.630576]: context ppl 441.0932 | text ppl 39.1254 | rating loss 0.8503 |  4200/ 9625 batches
[2024-08-03 16:31:43.870326]: context ppl 444.4106 | text ppl 39.4275 | rating loss 0.8574 |  4400/ 9625 batches
[2024-08-03 16:31:50.066011]: context ppl 438.4240 | text ppl 38.9784 | rating loss 0.8444 |  4600/ 9625 batches
[2024-08-03 16:31:56.278134]: context ppl 437.4010 | text ppl 39.1046 | rating loss 0.8509 |  4800/ 9625 batches
[2024-08-03 16:32:02.518027]: context ppl 435.4925 | text ppl 38.8836 | rating loss 0.8484 |  5000/ 9625 batches
[2024-08-03 16:32:08.777896]: context ppl 433.6466 | text ppl 38.7557 | rating loss 0.8474 |  5200/ 9625 batches
[2024-08-03 16:32:15.013371]: context ppl 434.0652 | text ppl 38.9360 | rating loss 0.8381 |  5400/ 9625 batches
[2024-08-03 16:32:21.203534]: context ppl 431.3074 | text ppl 38.9327 | rating loss 0.8561 |  5600/ 9625 batches
[2024-08-03 16:32:27.404170]: context ppl 431.0008 | text ppl 38.7435 | rating loss 0.8455 |  5800/ 9625 batches
[2024-08-03 16:32:33.677634]: context ppl 426.4869 | text ppl 38.3423 | rating loss 0.8547 |  6000/ 9625 batches
[2024-08-03 16:32:39.937887]: context ppl 428.9090 | text ppl 38.6343 | rating loss 0.8399 |  6200/ 9625 batches
